country,area,population,density,age 0 to 14,age 15 to 64,age over 65
Honduras,112492.0,9158345.0,81.41330050136898,0.316,0.637,0.047
Hong Kong,1106.0,7500700.0,6781.826401446655,0.115,0.722,0.163
Hungary,93029.0,9764000.0,104.95651893495577,0.14300000000000002,0.6709999999999999,0.18600000000000003
Iceland,102775.0,360390.0,3.5065920700559476,0.201,0.655,0.14400000000000002
India,3287240.0,1360174677.0,413.77407095314004,0.278,0.662,0.06
Indonesia,1904569.0,268074600.0,140.7534198025905,0.27399999999999997,0.6729999999999999,0.053
Iran,1648195.0,83306510.0,50.54408610631631,0.237,0.7090000000000001,0.054000000000000006
Iraq,438317.0,39309783.0,89.68345512494382,0.40399999999999997,0.564,0.032
Ireland,70273.0,4921500.0,70.0340102172954,0.21600000000000003,0.644,0.139
Israel,22072.0,9175950.0,415.7280717651323,0.27899999999999997,0.604,0.11699999999999999
Italy,301308.0,60252824.0,199.9708736575199,0.135,0.635,0.23
Ivory Coast,322921.0,25823071.0,79.96714676344989,0.424,0.546,0.028999999999999998
Jamaica,10991.0,2726667.0,248.08179419525067,0.22699999999999998,0.6759999999999999,0.09699999999999999
Japan,377975.0,126010000.0,333.38183742310997,0.129,0.601,0.27
Jordan,89342.0,10642880.0,119.12515949945154,0.355,0.607,0.038
Kazakhstan,2724900.0,18592700.0,6.823259569158501,0.27899999999999997,0.6509999999999999,0.07
Kenya,581834.0,47564296.0,81.74891120147672,0.405,0.568,0.027000000000000003
Kuwait,17818.0,4420110.0,248.0699292849927,0.21100000000000002,0.7659999999999999,0.023
Kyrgyzstan,199945.0,6309300.0,31.55517767386031,0.318,0.637,0.045
Laos,236800.0,6492400.0,27.41722972972973,0.32899999999999996,0.631,0.04
Latvia,64562.0,1910400.0,29.59016139524798,0.154,0.648,0.198
Lebanon,10452.0,6855713.0,655.923555300421,0.231,0.684,0.085
Lesotho,30355.0,2263010.0,74.55147422170977,0.354,0.601,0.045
Liberia,97036.0,4475353.0,46.12054289129807,0.418,0.551,0.031
Libya,1770060.0,6470956.0,3.655783419771081,0.282,0.674,0.044000000000000004
Lithuania,65300.0,2793466.0,42.77895865237366,0.14800000000000002,0.662,0.19
Luxembourg,2586.0,613894.0,237.39133797370457,0.165,0.6920000000000001,0.14300000000000002
Macau,32.9,676100.0,20550.15197568389,0.134,0.769,0.098
Madagascar,587041.0,25680342.0,43.74539768091155,0.41,0.561,0.028999999999999998
Malawi,118484.0,17563749.0,148.23730630296075,0.44,0.53,0.03
Malaysia,330803.0,32728760.0,98.93731314407668,0.243,0.6940000000000001,0.063
Maldives,298.0,374775.0,1257.6342281879195,0.23399999999999999,0.725,0.040999999999999995
Mali,1248574.0,19107706.0,15.303623173316119,0.47700000000000004,0.498,0.025
Malta,315.0,493559.0,1566.8539682539683,0.14400000000000002,0.6609999999999999,0.19399999999999998
Mauritania,1030700.0,3984233.0,3.8655602988260407,0.39899999999999997,0.569,0.031
Mauritius,2040.0,1265577.0,620.3808823529412,0.184,0.7070000000000001,0.109
Mexico,1967138.0,126577691.0,64.34611654088326,0.267,0.665,0.069
Moldova,33843.0,2681735.0,79.24046331589989,0.157,0.7340000000000001,0.109
Mongolia,1564100.0,3000000.0,1.9180359312064446,0.297,0.6629999999999999,0.04
Montenegro,13812.0,622182.0,45.04648132059079,0.18100000000000002,0.6709999999999999,0.14800000000000002
Morocco,446550.0,35848024.0,80.27773821520546,0.27399999999999997,0.6579999999999999,0.068
Mozambique,799380.0,28571310.0,35.741837424003606,0.44799999999999995,0.521,0.032
Myanmar,676577.0,54339766.0,80.31571572784767,0.268,0.674,0.057
Namibia,825118.0,2413643.0,2.9252094851887853,0.36700000000000005,0.598,0.036000000000000004
Nepal,147181.0,29609623.0,201.17829747046153,0.309,0.633,0.057999999999999996
Netherlands,41526.0,17447881.0,420.1676299186052,0.16399999999999998,0.648,0.188
New Zealand,270467.0,4972721.0,18.38568476006315,0.198,0.649,0.153
Nicaragua,121428.0,6393824.0,52.65526896597161,0.29,0.655,0.054000000000000006
Niger,1186408.0,22314743.0,18.80865857276755,0.502,0.47200000000000003,0.026000000000000002
Nigeria,923768.0,200962000.0,217.5459639216773,0.44,0.5329999999999999,0.027999999999999997
North Korea,120540.0,25450000.0,211.13323378131741,0.20600000000000002,0.6990000000000001,0.095
North Macedonia,25713.0,2077132.0,80.78139462528682,0.23,0.644,0.11900000000000001
Norway,323808.0,5367580.0,16.576428006720032,0.17800000000000002,0.654,0.168
Oman,309500.0,4183841.0,13.518064620355412,0.218,0.758,0.024
Pakistan,803940.0,219049520.0,272.46998532228776,0.348,0.607,0.045
Palestine,6020.0,4976684.0,826.6916943521595,0.396,0.574,0.03
Panama,74177.0,4158783.0,56.06566725534869,0.27399999999999997,0.647,0.079
Papua New Guinea,462840.0,8935000.0,19.30472733558033,0.359,0.603,0.038
Paraguay,406752.0,7052983.0,17.33976231217056,0.294,0.642,0.064
Peru,1285216.0,32162184.0,25.024730473321217,0.27399999999999997,0.655,0.07200000000000001
Philippines,300000.0,108446879.0,361.48959666666667,0.317,0.635,0.048
Poland,312685.0,38386000.0,122.76252458544542,0.14800000000000002,0.684,0.168
Portugal,92090.0,10276617.0,111.59319144315344,0.136,0.649,0.215
Qatar,11571.0,2740479.0,236.84029038112521,0.139,0.848,0.013000000000000001
Republic of the Congo,342000.0,5399895.0,15.789166666666667,0.423,0.5429999999999999,0.034
Romania,238391.0,19405156.0,81.40053944989533,0.153,0.669,0.179
Russia,17125242.0,146877088.0,8.576643062912629,0.17600000000000002,0.682,0.142
Rwanda,26338.0,12374397.0,469.83054901662996,0.401,0.569,0.03
Saint Lucia,617.0,180454.0,292.47001620745544,0.18899999999999997,0.7140000000000001,0.09699999999999999
Samoa,2831.0,199300.0,70.39915224302366,0.366,0.578,0.055999999999999994
Saudi Arabia,2149690.0,34218169.0,15.91772255534519,0.252,0.715,0.033
Senegal,196722.0,16209125.0,82.39609703032706,0.429,0.541,0.03
Serbia,77474.0,6901188.0,89.07747115161216,0.165,0.662,0.174
Seychelles,455.0,96762.0,212.66373626373627,0.222,0.6920000000000001,0.086
Sierra Leone,71740.0,7901454.0,110.14014496793978,0.42100000000000004,0.5539999999999999,0.025
Singapore,722.5,5703600.0,7894.256055363322,0.15,0.721,0.129
Slovakia,49036.0,5450421.0,111.15141936536422,0.154,0.696,0.151
Slovenia,20273.0,2084301.0,102.81167069501308,0.15,0.66,0.191
Solomon Islands,28370.0,682500.0,24.057102573140643,0.38799999999999996,0.5770000000000001,0.035
Somalia,637657.0,15181925.0,23.80892078343059,0.46399999999999997,0.508,0.027000000000000003
South Africa,1220813.0,58775022.0,48.14416458540333,0.29,0.657,0.053
South Korea,100210.0,51780579.0,516.7206765791838,0.135,0.726,0.139
South Sudan,644329.0,12778250.0,19.831871605965276,0.41700000000000004,0.5489999999999999,0.034
Spain,505990.0,46934632.0,92.75802288582778,0.147,0.659,0.19399999999999998
Sri Lanka,65610.0,21803000.0,332.31214753848496,0.24,0.659,0.10099999999999999
Sudan,1839542.0,40782742.0,22.170052110797144,0.408,0.556,0.035
Suriname,163820.0,568301.0,3.4690575021364913,0.264,0.6659999999999999,0.069
Sweden,450295.0,10367505.0,23.023806615663066,0.175,0.625,0.19899999999999998
Switzerland,41285.0,8586550.0,207.98231803318396,0.149,0.667,0.184
Syria,185180.0,17070135.0,92.18131007668215,0.366,0.591,0.043
São Tomé and Príncipe,1001.0,201784.0,201.58241758241758,0.428,0.5429999999999999,0.028999999999999998
Taiwan,36197.0,23604265.0,652.1055612343564,0.13119999999999998,0.7302,0.1386
Tajikistan,143100.0,9127000.0,63.78057302585604,0.353,0.613,0.035
Tanzania,945087.0,55890747.0,59.13820314955131,0.449,0.52,0.031
Thailand,513120.0,66485117.0,129.57030908949173,0.17300000000000001,0.713,0.114
Timor-Leste,14919.0,1167242.0,78.2386218915477,0.436,0.528,0.036000000000000004
Togo,56600.0,7538000.0,133.18021201413427,0.41600000000000004,0.556,0.027999999999999997
Tonga,720.0,100000.0,138.88888888888889,0.358,0.583,0.057999999999999996
Trinidad and Tobago,5155.0,1363985.0,264.5945683802134,0.207,0.693,0.1
Tunisia,163610.0,11722038.0,71.6462196687244,0.24,0.68,0.08
Turkey,783562.0,83154997.0,106.12433604488221,0.25,0.669,0.08199999999999999
Turkmenistan,491210.0,5851466.0,11.912351132916676,0.309,0.648,0.043
Uganda,241551.0,40006700.0,165.6242367036361,0.47700000000000004,0.501,0.022000000000000002
Ukraine,603000.0,41902416.0,69.48991044776119,0.155,0.68,0.165
United Arab Emirates,83600.0,9770529.0,116.87235645933015,0.139,0.85,0.011000000000000001
United Kingdom,242910.0,66435600.0,273.4988267259479,0.177,0.638,0.185
United Kingdom,0.0,0.0,0.0,0.177,0.638,0.185
United States,9833517.0,329505107.0,33.50836806404057,0.18899999999999997,0.657,0.154
Uruguay,176215.0,3518553.0,19.967386431348068,0.21100000000000002,0.643,0.147
Uzbekistan,447400.0,32653900.0,72.9859186410371,0.28,0.675,0.045
Vanuatu,12281.0,304500.0,24.79439785033792,0.36,0.597,0.044000000000000004
Venezuela,916445.0,32219521.0,35.15706998237756,0.276,0.6579999999999999,0.066
Vietnam,331212.0,96208984.0,290.4755383259061,0.231,0.698,0.07200000000000001
Yemen,455000.0,28915284.0,63.550074725274726,0.39899999999999997,0.5720000000000001,0.028999999999999998
Zambia,752612.0,16405229.0,21.797724458286606,0.44799999999999995,0.527,0.025
Zimbabwe,390757.0,15159624.0,38.79552765529472,0.41200000000000003,0.56,0.027999999999999997
